27282 0
4990 2
4959 6
4989 2
5356 2
17289 3
18238 1
14712 1
#18612 1
18612 8
17441 2
19541 8
#19541 3
28936 3
16059 3
26042 3
22845 6
25665 6
25875 6
smwdb_acd23 6
smwdb_l2k 2
31172 0
29774 6
29086 6
31168 1
16060 2
16058 2
31608 2
23434 6
4980 2
31747 2
31559 8
31405 2
31857 6
31728 6
31613 6
23814 0
19720 6
31819 6
14243 2
25878 2
4987 2
5277 1
28851 2
5317 2
4975 2
#28771 2
28771 8
15561 2
19167 8
5052 0 ; unbeatable?
5038 1
15939 1
25236 6
21873 6
14593 1
14592 0
5127 2
18860 2
6255 0
4982 2
28233 2
28710 8
32143 2
32192 8
5004 0
5180 2
28977 2
19279 1
30248 2
11374 2

27282 20
35537 7
